forecast_date,target,target_end_date,quantile,type,location,value
2020-12-21,7 wk ahead cum death,2021-02-06,,point,22,13722.649281847913
2020-12-21,8 wk ahead cum death,2021-02-13,,point,22,16239.56606488012
2020-12-21,1 wk ahead inc death,2020-12-26,,point,23,25.20766061340416
2020-12-21,2 wk ahead inc death,2021-01-02,,point,23,21.691909831956888
2020-12-21,3 wk ahead inc death,2021-01-09,,point,23,18.666506161525344
2020-12-21,4 wk ahead inc death,2021-01-16,,point,23,16.063060144429418
2020-12-21,5 wk ahead inc death,2021-01-23,,point,23,13.822720704712347
2020-12-21,6 wk ahead inc death,2021-01-30,,point,23,11.894844815528169
2020-12-21,7 wk ahead inc death,2021-02-06,,point,23,10.235852710042991
2020-12-21,8 wk ahead inc death,2021-02-13,,point,23,8.808242757813758
2020-12-21,1 wk ahead cum death,2020-12-26,,point,23,317.2076606134042
2020-12-21,2 wk ahead cum death,2021-01-02,,point,23,338.89957044536106
2020-12-21,3 wk ahead cum death,2021-01-09,,point,23,357.5660766068864
2020-12-21,4 wk ahead cum death,2021-01-16,,point,23,373.62913675131585
2020-12-21,5 wk ahead cum death,2021-01-23,,point,23,387.4518574560282
2020-12-21,6 wk ahead cum death,2021-01-30,,point,23,399.3467022715563
2020-12-21,7 wk ahead cum death,2021-02-06,,point,23,409.58255498159934
2020-12-21,8 wk ahead cum death,2021-02-13,,point,23,418.39079773941313
2020-12-21,1 wk ahead inc death,2020-12-26,,point,24,323.66869406760026
2020-12-21,2 wk ahead inc death,2021-01-02,,point,24,319.29309610383706
2020-12-21,3 wk ahead inc death,2021-01-09,,point,24,314.9766507794588
2020-12-21,4 wk ahead inc death,2021-01-16,,point,24,310.7185584243922
2020-12-21,5 wk ahead inc death,2021-01-23,,point,24,306.5180301791077
2020-12-21,6 wk ahead inc death,2021-01-30,,point,24,302.374287848475
2020-12-21,7 wk ahead inc death,2021-02-06,,point,24,298.28656375759374
2020-12-21,8 wk ahead inc death,2021-02-13,,point,24,294.2541006095725
2020-12-21,1 wk ahead cum death,2020-12-26,,point,24,5735.6686940676
2020-12-21,2 wk ahead cum death,2021-01-02,,point,24,6054.9617901714355
